0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:30:33 +0800] "POST /WeiShop/user/findPageUser.do HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:30:34 +0800] "GET /WeiShop/role/findRoleType.do?_dc=1422109809376 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:31:27 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/invalid_line.gif HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:32:54 +0800] "GET /WeiShop/struts2/power/role HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:35:49 +0800] "GET /WeiShop/login.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:35:55 +0800] "POST /WeiShop/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:35:55 +0800] "GET /WeiShop/admin HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:35:55 +0800] "GET /WeiShop/struts2/kucun/kcsearch HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:35:55 +0800] "GET /WeiShop/user/getMenuBuf?_dc=1422110155724 HTTP/1.1" 200 7959
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:35:56 +0800] "POST /WeiShop/role/findPageRole.do HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:35:56 +0800] "GET /WeiShop/search/findKcByParams?_dc=1422110156131 HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:08 +0800] "GET /WeiShop/login.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:50 +0800] "GET /WeiShop/login.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:50 +0800] "GET /WeiShop/static/img/login/login_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:50 +0800] "GET /WeiShop/static/img/login/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:50 +0800] "GET /WeiShop/static/img/login/reset.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:50 +0800] "GET /WeiShop/static/img/login/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:50 +0800] "GET /WeiShop/static/img/login/submit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:53 +0800] "POST /WeiShop/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:53 +0800] "GET /WeiShop/admin HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:54 +0800] "GET /WeiShop/struts2/kucun/kcsearch HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:54 +0800] "GET /WeiShop/user/getMenuBuf?_dc=1422110274143 HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:55 +0800] "GET /WeiShop/search/findKcByParams?_dc=1422110274462 HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:55 +0800] "POST /WeiShop/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:58 +0800] "GET /WeiShop/struts2/power/user HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:58 +0800] "GET /WeiShop/role/findRoleType.do?_dc=1422110278234 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:37:58 +0800] "POST /WeiShop/user/findPageUser.do HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:38:43 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/grid3-special-col-sel-bg.gif HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:39:39 +0800] "GET /WeiShop/admin HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:39:39 +0800] "GET /WeiShop/static/ext/ext-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:39:39 +0800] "GET /WeiShop/static/ext/adapter/ext/ext-base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:39:39 +0800] "GET /WeiShop/static/ext/ext-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:39:39 +0800] "GET /WeiShop/static/ext/resources/css/ext-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:39:39 +0800] "GET /WeiShop/static/css/index.css HTTP/1.1" 304 -
